"Category","Match_Type","coef_Int","coef_Value"
"R","Regular",-8.20004850772803,0.202430939311636
"R","All-Star",-11.4869383598942,0.182749128160008
"RBI","Regular",-6.72353537304941,0.172671147658428
"RBI","All-Star",-10.3993737476103,0.171424023258
"HR","Regular",-5.39141792664373,0.441864391814547
"HR","All-Star",-8.49481219140373,0.448161752816501
"SB","Regular",-3.4318814492288,0.666679698611762
"SB","All-Star",-3.65412869063295,0.565666208134794
"AVG","Regular",-14.954922074063,55.7016210182558
"AVG","All-Star",-22.0877191247734,79.0854952264616
"K","Regular",-5.4739995680584,0.107649551153638
"K","All-Star",-6.01887936494837,0.0712205019509137
"W","Regular",-3.94145580404576,1.06055640760704
"W","All-Star",-4.34026065928215,0.776666416041057
"SV","Regular",-2.65860809977086,0.788823873486261
"SV","All-Star",-2.58564647979189,0.519611773144434
"ERA","Regular",5.28764462848599,-1.35774412731087
"ERA","All-Star",7.34077454469498,-1.98401211997502
"WHIP","Regular",10.3387060648779,-8.25839778713108
"WHIP","All-Star",13.8597938053618,-11.2333357081097
